     51/99     5.49G   0.02968  0.008691         0   0.03837         1       640         1    0.9722    0.9752    0.4332   0.02768  0.004014         0
     52/99     5.49G   0.02785  0.008625         0   0.03647         2       640    0.9714    0.9444    0.9273    0.3583   0.02989  0.004085         0
     53/99     5.49G   0.03039  0.008549         0   0.03894         2       640         1    0.9722    0.9752    0.4839   0.02254  0.004245         0
     54/99     5.49G   0.02761  0.008603         0   0.03622         1       640         1    0.9722    0.9752    0.4551   0.02554  0.004207         0
     55/99     5.49G   0.02538  0.008396         0   0.03378         1       640         1    0.9722    0.9752    0.4559   0.02457  0.004177         0
     56/99     5.49G   0.03013  0.008257         0   0.03839         2       640    0.8571    0.8333    0.8427    0.2932   0.03376  0.004425         0
     57/99     5.49G   0.02886  0.009031         0   0.03789         4       640    0.9722    0.9722    0.9744     0.516   0.02261  0.004294         0
     58/99     5.49G   0.02845  0.008667         0   0.03712         1       640    0.9722    0.9722    0.9782    0.5111    0.0229  0.004372         0
     59/99     5.49G   0.02744  0.008572         0   0.03601         2       640    0.9722    0.9722    0.9744    0.4099    0.0256  0.004522         0
     60/99     5.49G   0.02583  0.007981         0   0.03381         1       640    0.9722    0.9722    0.9872    0.4762   0.02366  0.004353         0
     61/99     5.49G   0.02407  0.008105         0   0.03218         1       640         1    0.9722    0.9895    0.3733   0.02808  0.004397         0
     62/99     5.49G   0.02569  0.007821         0   0.03351         2       640         1    0.9721    0.9886    0.4991   0.02236  0.004154         0
     63/99     5.49G   0.02605  0.007665         0   0.03372         3       640    0.9714    0.9444    0.9677    0.3658    0.0264  0.004518         0
     64/99     5.49G    0.0238  0.008098         0    0.0319         4       640    0.9714    0.9444    0.9643    0.3639    0.0286  0.004434         0
     65/99     5.49G   0.02434  0.008077         0   0.03241         2       640         1    0.9722    0.9753    0.5033   0.02129  0.004248         0
     66/99     5.49G   0.02437  0.008499         0   0.03287         4       640    0.9714    0.9444    0.9634    0.4402   0.02748  0.004412         0
     67/99     5.49G   0.02316  0.007789         0   0.03095         3       640         1    0.9722    0.9753    0.4896   0.02327  0.004308         0
     68/99     5.49G   0.02298  0.008227         0   0.03121         4       640         1    0.9722    0.9753    0.4757   0.02594  0.004208         0
     69/99     5.49G   0.02144  0.007811         0   0.02925         1       640    0.9705    0.9167    0.9275    0.3944   0.02857  0.004254         0
